Step number552, going right
Step number553, going right
Step number554, going right
Step number555, going right
Step number556, going right
Step number557, going right
Step number558, going right
Step number559, going right
Step number560, going right
Step number561, going right
Step number562, going right
Step number563, going right
Step number564, going right
Step number565, going right
Step number566, going right
Step number567, going right
Step number568, going right
Step number569, going up
Step number570, going up
Step number571, going up
Step number572, going up
Step number573, going up
Step number574, going left
Step number575, going left
Step number576, going down
Step number577, going down
Step number578, going down
Step number579, going down
Step number580, going down
Step number581, going down
Step number582, going down
Step number583, going down
Step number584, going down
Step number585, going down
Step number586, going down
Step number587, going down
Step number588, going down
Step number589, going down
Step number590, going down
Step number591, going down
Step number592, going down
Step number593, going down
Step number594, going down
Step number595, going down
Step number596, going down
Step number597, going down
Step number598, going down
Step number599, going down
Step number600, going down
Step number601, going down
Step number602, going down
Step number603, going up
Step number604, going up
Step number605, going up
Step number606, going right
Step number607, going right
Step number608, going down
Step number609, going up
Step number610, going left
Step number611, going left
Step number612, going up
Step number613, going up
Step number614, going right
Step number615, going right
Step number616, going up
Step number617, going up
Step number618, going up
Step number619, going up
Step number620, going up
Step number621, going up
Step number622, going up
Step number623, going up
Step number624, going right
Step number625, going right
Step number626, going up
Step number627, going up
Step number628, going up
Step number629, going right
Step number630, going right
Step number631, going right
Step number632, going right
Step number633, going right
Step number634, going right
Step number635, going right
Step number636, going right
Step number637, going right
Step number638, going right
Step number639, going right
Step number640, going right
Step number641, going right
Step number642, going right
Step number643, going right
Step number644, going right
Step number645, going right
Step number646, going right
Step number647, going right
Step number648, going right
Step number649, going right
Step number650, going right
Step number651, going right
Step number652, going left
Step number653, going left
Step number654, going up
Step number655, going up
Step number656, going right
Step number657, going right
Step number658, going up
Step number659, going up
Step number660, going up
Step number661, going up
Step number662, going up
Step number663, going up
Step number664, going up
Step number665, going up
Step number666, going right
Step number667, going right
Step number668, going up
Step number669, going up
Step number670, going up
Step number671, going right
Step number672, going right
Step number673, going right
Step number674, going right
Step number675, going right
Step number676, going right
Step number677, going right
Step number678, going right
Step number679, going right
Step number680, going right
Step number681, going right
Step number682, going right
Step number683, going right
Step number684, going right
Step number685, going right
Step number686, going right
Step number687, going right
Step number688, going left
Step number689, going left
Step number690, going up
Step number691, going up
Step number692, going right
Step number693, going right
Step number694, going up
Step number695, going up
Step number696, going up
Step number697, going up
Step number698, going up
Step number699, going up
Step number700, going up
Step number701, going up
Step number702, going left
Step number703, going right
Step number704, going down
Step number705, going down
Step number706, going left
Step number707, going left
Step number708, going left
Step number709, going left
Step number710, going left
Step number711, going left
Step number712, going left
Step number713, going left
Step number714, going left
Step number715, going left
Step number716, going left
Step number717, going left
Step number718, going left
Step number719, going left
